name,fat,carbs,protein
fish sandwich,15.88235294,24.11764706,10.58823529
fish sticks,10.71428571,14.28571429,21.42857143
fluid buttermilk,0.816326531,4.897959184,3.265306122
fondant,0,95.23809524,0
frankfurter,28.88888889,2.222222222,11.11111111
french bread,2.857142857,51.42857143,8.571428571
french fries,16,40,4
french salad dressing,56.25,6.25,0
french toast,10.76923077,26.15384615,9.230769231
fried chicken breast,9.183673469,2.040816327,31.63265306
fried chicken drumsticks,14.28571429,2.040816327,26.53061224
fried egg,15.2173913,2.173913043,13.04347826
fried pie,16.47058824,37.64705882,2.352941176
fried shrimp,11.76470588,12.94117647,18.82352941
fudge chocolate,10.58201058,74.07407407,3.527336861
fudge chocolate syrup,13.15789474,55.26315789,5.263157895
garlic powder,0,71.42857143,0
gelatin dessert,0,14.16666667,1.666666667
gingerbread cake,6.349206349,50.79365079,3.174603175
granola cereal,17.6366843,67.01940035,10.58201058
grape soda,0,12.3655914,0
grapefruit,0,8.333333333,0.833333333
grapefruit juice,0,9.311740891,0.4048583
grape-nuts cereal,0,81.1287478,10.58201058
grapes,0,17.54385965,0
gravy and turkey,2.816901408,4.929577465,5.633802817
green pea,1.2,10.8,3.6
green snap bean,0,8,1.6
gumdrops,0,88.18342152,0
haddock,10.58823529,8.235294118,20
halibut,7.058823529,0,23.52941176
hamburger,12.06896552,21.83908046,14.36781609
hard cooked egg,10,2,12
hazelnuts,62.60869565,15.65217391,13.04347826
heavy whipping cream,40,0,0
hollandaise sauce,7.722007722,5.405405405,1.930501931
honey,0,82.30088496,0.294985251
honeydew melon,0,9.302325581,0.775193798
hot chili peppers,0,8.888888889,2.222222222
hydrogenated soybean oil,100,0,0
hydrogenated soybean-cottonseed oil,100,0,0
italian bread,0,56.66666667,10
jellies,0,71.42857143,0
jelly beans,0,91.71075838,0
jerusalem-artichoke,0,17.33333333,2
kale,0.769230769,5.384615385,1.538461538
kiwifruit,0,14.47368421,1.315789474
kohlrabi,0,6.666666667,1.818181818
lamb chops,20,0,27.5
lard,100,0,0
lemon juice,0,8.606557377,0.409836066
lemon meringue pie,10,37.85714286,3.571428571
lemonade,0,51.14155251,0
lemon-lime soda,0,10.48387097,0
lemons,0,8.620689655,1.724137931
lentils,0.5,19,8
lettuce,0.185528757,2.040816327,0.927643785
light beer,0,1.408450704,0.281690141
light whipping cream,33.33333333,0,0
lima beans,0.526315789,25.78947368,8.421052632
lime juice,0,8.943089431,0.406504065
limeade,0,49.5412844,0
lowfat milk,1.229508197,4.918032787,3.278688525
lowfat yogurt,1.762114537,7.04845815,5.286343612
macadamia nuts,76.86567164,12.68656716,7.462686567
macaroni,0.769230769,30,5.384615385
macaroni and cheese,11,20,8.5
malted milk,3.773584906,10.18867925,4.150943396
mangos,0.483091787,16.90821256,0.483091787
margarine,78.57142857,0,0
marshmallows,0,81.1287478,3.527336861
mashed potatoes,4.285714286,16.66666667,1.904761905
mayonnaise,78.57142857,0,0
melba toast,0,80,20
milk chocolate candy,31.74603175,56.43738977,7.054673721
minestrone soup,1.244813278,4.564315353,1.659751037
miso,4.710144928,23.55072464,10.50724638
molasses,0,55,0
mozzarella cheese,21.16402116,3.527336861,21.16402116
muenster cheese,31.74603175,0,24.69135802
mushrooms,0,4.285714286,1.428571429
mustard greens,0,2.142857143,2.142857143
natural cereal,21.16402116,63.49206349,10.58201058
